PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER_q1,RAPE_q1,ROBBERY_q1,FELONY ASSAULT_q1,BURGLARY_q1,GRAND LARCENY_q1,GRAND LARCENY OF MOTOR VEHICLE_q1,TOTAL_q1,MURDER_q2,RAPE_q2,ROBBERY_q2,FELONY ASSAULT_q2,BURGLARY_q2,GRAND LARCENY_q2,GRAND LARCENY OF MOTOR VEHICLE_q2,TOTAL_q2,MURDER_q3,RAPE_q3,ROBBERY_q3,FELONY ASSAULT_q3,BURGLARY_q3,GRAND LARCENY_q3,GRAND LARCENY OF MOTOR VEHICLE_q3,TOTAL_q3,TOTAL,CRIME OR NOT,CRIME OR NOT_q1,CRIME OR NOT_q2,CRIME OR NOT_q3
LONDON PLANETREE PLAYGROUND,QUEENS       ,1.84 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,1 ,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
SUTTER BALLFIELDS,BROOKLYN     ,1.84 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TAAFFE PLAYGROUND,BROOKLYN     ,1.82 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
GIVAN SQUARE,BRONX        ,1.82 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
THOMAS BOYLAND PARK,BROOKLYN     ,1.82 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HAROLD ICKES PLAYGROUND,BROOKLYN     ,1.82 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
REV J POLITE PLAYGROUND,BRONX        ,1.82 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MAPES BALLFIELD,BRONX        ,1.81 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MIDLAND MALLS,QUEENS       ,1.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CEDAR PLAYGROUND,BRONX        ,1.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BENNETT PARK,MANHATTAN    ,1.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,1 ,0,1 ,0,0,0,2 ,2 ,1 ,0,0,1
CONCH PLAYGROUND,QUEENS       ,1.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RAYMOND BUSH PLAYGROUND,BROOKLYN     ,1.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,3 ,0,0,0,3 ,0 ,0,0,0,0,0,0,0 ,3 ,1 ,0,1,0
PLAYGROUND 52 LII,BRONX        ,1.79 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DR. GREEN PLAYGROUND,BROOKLYN     ,1.79 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BRUST PARK,BRONX        ,1.79 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LAURELTON PLAYGROUND,QUEENS       ,1.79 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
SIMEONE PARK,QUEENS       ,1.78 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MANOR PARK,STATEN ISLAND,1.78 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TAPPEN PARK,STATEN ISLAND,1.78 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LUNA PARK,BROOKLYN     ,1.76 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,2 ,0,1 ,0,3 ,0 ,0,1 ,1 ,0,0,0,2 ,5 ,1 ,0,1,1
ALFRED E. SMITH PLAYGROUND,MANHATTAN    ,1.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,2 ,0,0,0,2 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,0,1,0
ELECTRIC PLAYGROUND,QUEENS       ,1.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
YELLOWSTONE PARK,QUEENS       ,1.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
CORONA GOLF PLAYGROUND,QUEENS       ,1.72 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WILSON PLAYGROUND,BROOKLYN     ,1.72 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
NORTHERN PLAYGROUND,QUEENS       ,1.72 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
BARTEL-PRITCHARD SQUARE,BROOKLYN     ,1.71 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DOUGHBOY PLAZA,QUEENS       ,1.71 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,1 ,1 ,0,0,1
CASTLE HILL LITTLE LEAGUE FIELD,BRONX        ,1.71 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GRAND FERRY PARK,BROOKLYN     ,1.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HAPPY WARRIOR PLAYGROUND,MANHATTAN    ,1.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ALLEN MALL ONE,MANHATTAN    ,1.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
PLAYGROUND ONE TWENTY FIVE CXXV,MANHATTAN    ,1.69 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
STAR SPANGLED PLAYGROUND,BROOKLYN     ,1.69 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PATTERSON PLAYGROUND,BRONX        ,1.68 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MOUNT EDEN MALLS,BRONX        ,1.68 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MIDLAND PLAYGROUND,STATEN ISLAND,1.68 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ADAM CLAYTON POWELL JR. MALLS,MANHATTAN    ,1.68 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BANNEKER PLAYGROUND,BROOKLYN     ,1.67 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
JAMES J WALKER PARK,MANHATTAN    ,1.67 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,2 ,1 ,1,0,1
WHITESTONE PLAYGROUND,QUEENS       ,1.66 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
EQUITY PARK,QUEENS       ,1.66 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
THURSBY BASIN PARK,QUEENS       ,1.66 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BELL MALLS,QUEENS       ,1.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LEIF ERICSON FIELDS,BROOKLYN     ,1.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,1,0,0
NEHEMIAH PARK,BROOKLYN     ,1.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MARBLE HILL PLAYGROUND,BRONX        ,1.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WAGNER HOUSES POOL,MANHATTAN    ,1.64 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HARLEM LANE PLAYGROUND,MANHATTAN    ,1.64 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CROWLEY PLAYGROUND,QUEENS       ,1.63 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
BURNS PLAYGROUND,BRONX        ,1.62 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
100% PLAYGROUND,BROOKLYN     ,1.62 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JACKIE ROBINSON PARK BROOKLYN,BROOKLYN     ,1.61 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
IDA COURT,STATEN ISLAND,1.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JENNIFER'S PLAYGROUND,STATEN ISLAND,1.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
REAL GOOD PARK,QUEENS       ,1.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ALLERTON PLAYGROUND,BRONX        ,1.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
OCEAN HILL PLAYGROUND,BROOKLYN     ,1.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BELLEVUE SOUTH PARK,MANHATTAN    ,1.59 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MAZZEI PLAYGROUND,BRONX        ,1.59 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
DAG HAMMARSKJOLD PLAZA,MANHATTAN    ,1.59 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
KOLBERT PLAYGROUND,BROOKLYN     ,1.58 ,ONE ACRE OR LARGER,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
POOR RICHARD'S PLAYGROUND,MANHATTAN    ,1.58 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
OLMSTED-BEIL HOUSE PARK,STATEN ISLAND,1.58 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TAYLOR PLAYGROUND,BRONX        ,1.58 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JOAN OF ARC PARK,MANHATTAN    ,1.58 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HARMONY PARK,BROOKLYN     ,1.56 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BRIARWOOD PLAYGROUND,QUEENS       ,1.56 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CLINTONVILLE PLAYGROUND,QUEENS       ,1.55 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FLATBUSH MALLS,BROOKLYN     ,1.55 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WASHINGTON PARK BROOKLYN,BROOKLYN     ,1.55 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JOHN HANCOCK PLAYGROUND,BROOKLYN     ,1.55 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FRANK D. O'CONNOR PLAYGROUND,QUEENS       ,1.54 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,1 ,0,0,1 ,0,2 ,3 ,1 ,0,1,1
OLD TOWN PLAYGROUND,STATEN ISLAND,1.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HUGUENOT PONDS PARK,STATEN ISLAND,1.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
REIFF PLAYGROUND,QUEENS       ,1.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,2 ,0,0,0,0,2 ,3 ,1 ,0,1,1
RUSSELL SAGE PLAYGROUND,QUEENS       ,1.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
ROGER MORRIS PARK,MANHATTAN    ,1.52 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BROAD CHANNEL PARK,QUEENS       ,1.52 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SPUYTEN DUYVIL PLAYGROUND,BRONX        ,1.51 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JOHN ALLEN PAYNE PARK,BROOKLYN     ,1.51 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BULOVA PARK,QUEENS       ,1.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DECATUR PLAYGROUND,BROOKLYN     ,1.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GOLCONDA PLAYGROUND,BROOKLYN     ,1.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DRY DOCK PLAYGROUND,MANHATTAN    ,1.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,1 ,0,0,1 ,0 ,0,0,0,0,1 ,0,1 ,2 ,1 ,0,1,1
MAPLE GROVE PARK,QUEENS       ,1.50 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
UNNAMED PARK ON RIVERSIDE DRIVE,MANHATTAN    ,1.49 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MARX BROTHERS PLAYGROUND,MANHATTAN    ,1.49 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BREVOORT PLAYGROUND,BROOKLYN     ,1.49 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PLAYGROUND SIXTY TWO LXII,QUEENS       ,1.48 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TALL OAK PLAYGROUND,QUEENS       ,1.48 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FRONTERA PARK,QUEENS       ,1.47 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
COLDEN PLAYGROUND,QUEENS       ,1.47 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LUTHER GULICK PLAYGROUND,MANHATTAN    ,1.45 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PULASKI PARK,BRONX        ,1.45 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
BOOKER T. WASHINGTON PLAYGROUND,MANHATTAN    ,1.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,1 ,0,1 ,2 ,1 ,0,1,1
DUNBAR PLAYGROUND,BRONX        ,1.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PLAYGROUND TWENTY ONE,QUEENS       ,1.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PROSPECT PLAYGROUND,BRONX        ,1.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,2 ,0,0,0,2 ,2 ,1 ,0,0,1
WOODS PLAYGROUND,BROOKLYN     ,1.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GLENWOOD PLAYGROUND,BROOKLYN     ,1.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SHELTERING ARMS PLAYGROUND,MANHATTAN    ,1.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ALMEDA PLAYGROUND,QUEENS       ,1.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GAETA PARK,STATEN ISLAND,1.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
